case_id,side,metric,min,p10,p25,p50,p75,p90,max,mean,std,count_ticks
C_FR5_MB2_PD5,B,split_separation,1.6329442129559542,1.6452883789638122,1.6488651160215426,1.682442186734734,1.713160446260893,1.7237642021976014,1.7876413688655937,1.684721934821603,0.036678818359858575,30
C_FR5_MB2_PD5,B,angle_coverage,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5,0.6458333333333334,0.75,0.8333333333333334,0.42222222222222233,0.2669558617051992,30
C_FR5_MB2_PD5,B,wedge_ratio,0.9032332513666319,1.0702911990038049,1.1561465086456952,1.20346750302518,1.4354019071943296,1.5539409857090207,1.7911956810380187,1.2760676755534288,0.21350070881784497,30
C_FR5_MB5_PD5,A,AR,1.076556210049888,1.1513036133912236,1.2843459394322927,1.5049780648910631,1.7507242979658884,1.8083079690927837,2.054074491478834,1.5133482638947728,0.26070389046138165,30
C_FR5_MB5_PD5,A,AreaScale,12.265537943159424,13.960183939265281,17.87943764751692,29.393293887623116,34.81314993756337,35.442562548710484,35.90263177094202,26.159302349446293,8.534853857489145,30
C_FR5_MB5_PD5,A,split_separation,1.6451369536321365,1.6555816999302557,1.6782512635341422,1.6955402744741344,1.7205224752588113,1.734736553447064,1.76418983710479,1.6989319835581456,0.02988341448180082,30
C_FR5_MB5_PD5,A,angle_coverage,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.4027777777777778,0.25283882046830247,30
C_FR5_MB5_PD5,A,wedge_ratio,0.5874796035502764,0.6754225542802992,0.7746889542695166,0.8394048459173925,0.9855937703743507,1.0555063522459085,1.1071556277926256,0.8670032515570426,0.1435992374879216,30
C_FR5_MB5_PD5,B,AR,1.079005063894473,1.1416589968224318,1.2877476374711148,1.5409240402411768,1.7337997711053426,1.892895382890833,2.021796222206761,1.5305597201182954,0.2839398982043755,30
C_FR5_MB5_PD5,B,AreaScale,11.130337626127893,12.78620107627505,18.456796329819067,29.46354096057122,34.69257126214871,35.848228674065105,36.05280687491931,26.211823203471795,8.903633621442697,30
C_FR5_MB5_PD5,B,split_separation,1.6420096847173915,1.6632093737991251,1.6825240646577142,1.6932456818011214,1.7112031014679854,1.7320460032415381,1.772448618187685,1.69544153398817,0.02806381038760538,30
C_FR5_MB5_PD5,B,angle_coverage,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.45833333333333337,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.3916666666666666,0.24828112799509858,30
C_FR5_MB5_PD5,B,wedge_ratio,0.768190358441079,0.8665744379159597,0.9073272078361738,1.0643600213580877,1.3287733331450908,1.6344644820039687,1.8638136865051926,1.1628893259819855,0.3159908135503548,30
C_FR5_MB8_PD5,A,AR,1.0782087223460213,1.224187224552012,1.2886701176357882,1.4628437618415329,1.6728344162512219,1.7195419443303912,2.0206660118906083,1.4862709078265228,0.22459435328558017,30
C_FR5_MB8_PD5,A,AreaScale,14.073427398454983,14.802389294874011,19.702890129969184,27.49980594233923,34.412292192656686,35.859529480335844,36.06392043742239,26.964011104536038,7.844169499693375,30
C_FR5_MB8_PD5,A,split_separation,1.6514390103019065,1.655972012656028,1.663110842168558,1.6909000268176957,1.7192945043364427,1.7530968892069132,1.7640349600435725,1.6947396108081798,0.035682047118967386,30
C_FR5_MB8_PD5,A,angle_coverage,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5,0.6458333333333334,0.75,0.8333333333333334,0.4,0.26211391360189884,30
C_FR5_MB8_PD5,A,wedge_ratio,0.5505587325873331,0.606782773851566,0.8265785183358348,0.9257812379339752,1.0955876947220713,1.1547181864249008,1.6105587938270083,0.9419704297100391,0.22572824195160546,30
C_FR5_MB8_PD5,B,AR,1.0305332721842093,1.1087886956048312,1.2167374783306304,1.4177678198261296,1.6476572229735673,1.7408291806534333,1.9578953192159716,1.4411081987967058,0.2513702757585909,30
C_FR5_MB8_PD5,B,AreaScale,11.860643755965961,13.077877826807413,17.575922044548825,28.152687549905778,34.686682750174974,36.44211853410165,36.74250716217009,26.097732470832177,8.960781554284583,30
C_FR5_MB8_PD5,B,split_separation,1.6452555812055512,1.6652926596340558,1.672451650982146,1.6886454534179953,1.7086993351082194,1.764073513254237,1.808055440584427,1.699270363839303,0.03933967008348039,30
C_FR5_MB8_PD5,B,angle_coverage,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.45833333333333337,0.5833333333333334,0.75,0.8333333333333334,0.39166666666666666,0.25743571653550357,30
C_FR5_MB8_PD5,B,wedge_ratio,0.6020748562569668,0.8567653695186596,0.9659713406852599,1.084986732168642,1.3152341482616448,1.597840485314547,1.8416473715775554,1.1685000011626543,0.2912128650338161,30
D_FR2_MB5_PD5,A,AR,1.076556210049888,1.1513036133912236,1.2843459394322927,1.5049780648910631,1.7507242979658884,1.8083079690927837,2.054074491478834,1.5133482638947728,0.26070389046138165,30
D_FR2_MB5_PD5,A,AreaScale,12.265537943159424,13.960183939265281,17.87943764751692,29.393293887623116,34.81314993756337,35.442562548710484,35.90263177094202,26.159302349446293,8.534853857489145,30
D_FR2_MB5_PD5,A,split_separation,1.6451369536321365,1.6555816999302557,1.6782512635341422,1.6955402744741344,1.7205224752588113,1.734736553447064,1.76418983710479,1.6989319835581456,0.02988341448180082,30
D_FR2_MB5_PD5,A,angle_coverage,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.4027777777777778,0.25283882046830247,30
D_FR2_MB5_PD5,A,wedge_ratio,0.5874796035502764,0.6754225542802992,0.7746889542695166,0.8394048459173925,0.9855937703743507,1.0555063522459085,1.1071556277926256,0.8670032515570426,0.1435992374879216,30
D_FR2_MB5_PD5,B,AR,1.079005063894473,1.1416589968224318,1.2877476374711148,1.5409240402411768,1.7337997711053426,1.892895382890833,2.021796222206761,1.5305597201182954,0.2839398982043755,30
D_FR2_MB5_PD5,B,AreaScale,11.130337626127893,12.78620107627505,18.456796329819067,29.46354096057122,34.69257126214871,35.848228674065105,36.05280687491931,26.211823203471795,8.903633621442697,30
D_FR2_MB5_PD5,B,split_separation,1.6420096847173915,1.6632093737991251,1.6825240646577142,1.6932456818011214,1.7112031014679854,1.7320460032415381,1.772448618187685,1.69544153398817,0.02806381038760538,30
D_FR2_MB5_PD5,B,angle_coverage,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.45833333333333337,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.3916666666666666,0.24828112799509858,30
D_FR2_MB5_PD5,B,wedge_ratio,0.768190358441079,0.8665744379159597,0.9073272078361738,1.0643600213580877,1.3287733331450908,1.6344644820039687,1.8638136865051926,1.1628893259819855,0.3159908135503548,30
D_FR5_MB5_PD5,A,AR,1.076556210049888,1.1513036133912236,1.2843459394322927,1.5049780648910631,1.7507242979658884,1.8083079690927837,2.054074491478834,1.5133482638947728,0.26070389046138165,30
D_FR5_MB5_PD5,A,AreaScale,12.265537943159424,13.960183939265281,17.87943764751692,29.393293887623116,34.81314993756337,35.442562548710484,35.90263177094202,26.159302349446293,8.534853857489145,30
D_FR5_MB5_PD5,A,split_separation,1.6451369536321365,1.6555816999302557,1.6782512635341422,1.6955402744741344,1.7205224752588113,1.734736553447064,1.76418983710479,1.6989319835581456,0.02988341448180082,30
D_FR5_MB5_PD5,A,angle_coverage,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.4027777777777778,0.25283882046830247,30
D_FR5_MB5_PD5,A,wedge_ratio,0.5874796035502764,0.6754225542802992,0.7746889542695166,0.8394048459173925,0.9855937703743507,1.0555063522459085,1.1071556277926256,0.8670032515570426,0.1435992374879216,30
D_FR5_MB5_PD5,B,AR,1.079005063894473,1.1416589968224318,1.2877476374711148,1.5409240402411768,1.7337997711053426,1.892895382890833,2.021796222206761,1.5305597201182954,0.2839398982043755,30
D_FR5_MB5_PD5,B,AreaScale,11.130337626127893,12.78620107627505,18.456796329819067,29.46354096057122,34.69257126214871,35.848228674065105,36.05280687491931,26.211823203471795,8.903633621442697,30
D_FR5_MB5_PD5,B,split_separation,1.6420096847173915,1.6632093737991251,1.6825240646577142,1.6932456818011214,1.7112031014679854,1.7320460032415381,1.772448618187685,1.69544153398817,0.02806381038760538,30
D_FR5_MB5_PD5,B,angle_coverage,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.45833333333333337,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.3916666666666666,0.24828112799509858,30
D_FR5_MB5_PD5,B,wedge_ratio,0.768190358441079,0.8665744379159597,0.9073272078361738,1.0643600213580877,1.3287733331450908,1.6344644820039687,1.8638136865051926,1.1628893259819855,0.3159908135503548,30
D_FR8_MB5_PD5,A,AR,1.076556210049888,1.1513036133912236,1.2843459394322927,1.5049780648910631,1.7507242979658884,1.8083079690927837,2.054074491478834,1.5133482638947728,0.26070389046138165,30
D_FR8_MB5_PD5,A,AreaScale,12.265537943159424,13.960183939265281,17.87943764751692,29.393293887623116,34.81314993756337,35.442562548710484,35.90263177094202,26.159302349446293,8.534853857489145,30
D_FR8_MB5_PD5,A,split_separation,1.6451369536321365,1.6555816999302557,1.6782512635341422,1.6955402744741344,1.7205224752588113,1.734736553447064,1.76418983710479,1.6989319835581456,0.02988341448180082,30
D_FR8_MB5_PD5,A,angle_coverage,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.4027777777777778,0.25283882046830247,30
D_FR8_MB5_PD5,A,wedge_ratio,0.5874796035502764,0.6754225542802992,0.7746889542695166,0.8394048459173925,0.9855937703743507,1.0555063522459085,1.1071556277926256,0.8670032515570426,0.1435992374879216,30
D_FR8_MB5_PD5,B,AR,1.079005063894473,1.1416589968224318,1.2877476374711148,1.5409240402411768,1.7337997711053426,1.892895382890833,2.021796222206761,1.5305597201182954,0.2839398982043755,30
D_FR8_MB5_PD5,B,AreaScale,11.130337626127893,12.78620107627505,18.456796329819067,29.46354096057122,34.69257126214871,35.848228674065105,36.05280687491931,26.211823203471795,8.903633621442697,30
D_FR8_MB5_PD5,B,split_separation,1.6420096847173915,1.6632093737991251,1.6825240646577142,1.6932456818011214,1.7112031014679854,1.7320460032415381,1.772448618187685,1.69544153398817,0.02806381038760538,30
D_FR8_MB5_PD5,B,angle_coverage,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.45833333333333337,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.3916666666666666,0.24828112799509858,30
D_FR8_MB5_PD5,B,wedge_ratio,0.768190358441079,0.8665744379159597,0.9073272078361738,1.0643600213580877,1.3287733331450908,1.6344644820039687,1.8638136865051926,1.1628893259819855,0.3159908135503548,30
